в Москве; в Москву|in Moscow; to Moscow
i свидетельствует
nom pl штабы
pr sg на борту; nom pl борта; на борту on board (ship or plane)
pr sg в цехе or в цеху; nom pl цехи or цеха
g sg казака́, nom pl казаки́ (but Tolstoi’s «Каза́ки»)
g pl обработок
g sg рыбака
g pl ступенек
nom pl суда, g pl судов
теряюсь, теряешься; по- р; рас- р
p учту, учтёшь, past учёл, учла
f чья-то, n чьё-то, pl чьи-то
pr на бегу
о- or по- р
p взорву, взорвёшь, past взорвал, взорвала, взорвало
g pl внучек
p возбужу, возбудишь
i горжусь, гордишься; Мы гордимся дочкой We’re proud of our daughter
i достаётся; p достанется
i колеблюсь, колеблешься
g pl лампочек
летучая мышь bat
p накрою, накроешь; накрыть (на) стол to lay the table
g sg ноля
i отстаю, отстаёшь; p отстану, отстанешь
= папа
i повторяется
g sg подлеца
p подхвачу, подхватишь
i краснею, краснеешь
p поражу, поразишь
p предположу, предположишь
i придаю, придаёшь; придавать значение чему-нибудь to treat sth as important; p придам, придашь, придаст, придадим, придадите, придадут, past придал, придала, придало
p проберусь, проберёшься, past пробрался, пробралась
i радуюсь, радуешься; p обрадуюсь
p расстреляю
nom pl редактора
i рублю, рубишь
i сдаю, сдаёшь; p: сдам, сдашь, сдаст, сдадим, сдадите, сдадут, past сдал, сдала, сдало
p смущусь, смутишься
p спущу, спустишь
p увлеку, увлечёшь, увлекут, past увлёк, увлекла
уход за ребёнком caring for а child
g sg чудака
g pl верхушек
g, d, pr восьмидесяти, inst восемьюдесятью
p: вре́заться, вре́жусь, вре́жешься
i глажу, гладишь
g pl загадок
по- р/при- р
i наклоняюсь; p наклонюсь, наклонишься
p намечу, наметишь
p настою, настоишь
p настанет
i объединяю
g pl полотенец
Он работает здесь|He works here
g pl построек
i присутствую
i расстаюсь, расстаёшься; p расстанусь, расстанешься
i рвусь, рвёшься, past рвался, рвалась
i сею, сеешь
i соединяются
i уверяю, уверяешь
p утвержу, утвердишь
характеризую, характеризуешь; р also о-
g pl башен
p ворвусь, ворвёшься, past ворвался, ворвалась
p выберусь, выберешься
p выдвину, выдвинешь
p вылечу, вылетишь
p вырву, вырвешь
g sg гвоздя, nom pl гвозди, g pl - ей
nom pl гнёзда
g sg грузовика
p изображу, изобразишь
no pl
g pl курток
i лгу, лжёшь, лгут, past лгал, лгала, лгало
g pl марок
i машу, машешь; по- р/ махнуть р
g sg некоего
i обвиняю, обвиняешь
смотри на обороте РТО
i подчиняю
g sg получаса, nom pl получасы
i поправляю; p поправлю, поправишь
p предприму, предпримешь; f past предприняла
i прибавляю; p прибавлю, прибавишь
i разделяю; p разделю, разделишь
p рассмеюсь, рассмеёшься
p сброшу, сбросишь
g pl сволочей
Мне ничего не слышно I can’t hear anything
соединяю, соединяешь
в соответствии с +inst in accordance with
на старости лет in one’s old age
i удовлетворяю
p уступлю, уступишь
nom pl широты
p вгляжусь, вглядишься
i вижусь, видишься
p заберусь, заберёшься, past забрался, забралась
высшее учебное заведение (вуз) institution of higher education
p задержу, задержишь
p избегу, избежишь, избегут
i извиняюсь
i киплю, кипишь
g pl коробок
миную, минуешь; Опасность миновала The danger has passed
нарушить правило to break a rule
Некуда идти There is nowhere to go
Как обстоит дело? How’s it going?
p отражусь, отразишься
i охраняю
g sg очага
i переношу, переносишь; p перенесу, перенесёшь, past перенёс, перенесла
g полудня
p порву, порвёшь, f past порвала; порвать отношения с кем-нибудь to break off relations with s.o.
i: требуется; p потребуется
p привлеку, привлечёшь, привлекут, past привлёк, привлекла
p провалюсь, провалишься
В комнате пусто The room is empty
p рожу, родишь, f past родила; рож(д)ать i
товарный знак trade mark
p уложу, уложишь
nom pl чины
p: по-/шевельнуться
g pl брюк
g sg вождя
g pl вспышек
i Отсюда вытекает, что ... It follows from this that...
i давлю, давишь
i делюсь, делишься
Он, дескать, женился I heard he’d got married
g sg нуля
p осмотрю, осмотришь
i ползу, ползёшь, past полз, ползла
p also прибежать | прибегнуть - to resort to; прибежать - to run to
p свалишься; валиться i/сваливаться i
i тону, тонешь; по-/у- p
i увожу, уводишь; p уведу, уведёшь, past увёл, увела
nom pl хоры
У них четверо детей They have four children
i верчу, вертишь
p взойду, взойдёшь, past взошёл, взошла; всходить i/восходить i
g sg воротника
g pl выдумок
i выставляю; p выставлю, выставишь
i даётся; p дамся, дашься, дастся, дадимся, дадитесь, дадутся, past дался, далась
squeeze: жму, жмёшь; harvest: жну, жнёшь
i звеню, звенишь
g pl игрушек
p изложу, изложишь
p исправлю, исправишь
наделать глупостей to do a lot of stupid things
g pl ножек
p оборву, оборвёшь, f past оборвала
no pl
p отберу, отберёшь, f past отобрала
p оторвусь, оторвёшься, past оторвался, оторвалась
no 1st pers sg, очутишься; no i
g pl песенок
p побуду, побудешь, past побыл, побыла, побыло
p подскажу, подскажешь
p советуюсь
p проеду, проедешь
p разовью, разовьёшь, past развил, развила, развило
i реву, ревёшь
рекомендую
i сдаюсь, сдаёшься; p сдамся, сдашься, сдастся, сдадимся, сдадитесь, сдадутся, f past сдалась
i схожусь, сходишься; p сойдёмся, past сошлись
short forms сыт, сыта, сыты
p удержусь, удержишься
i укрепляю; p укреплю, укрепишь
i уношу, уносишь; p унесу, унесёшь, past унёс, унесла
nom pl яйца, g pl яиц, d pl яйцам
по всей вероятности in all probability
трудящиеся the working people
g pl посадок
i вою, воешь
g pl перчаток
g sg большевика
иметь в резерве to have in reserve; экономические резервы economic reserves
g pl винтовок
g sg чертежа
no pl
научно-исследовательский институт (НИИ) research institute
g pl дров
p откажу, откажешь
g pl сеток
i сменяется; p сменюсь, сменишься
Ему было совестно Не was ashamed
как таковой as such
g pl банок; банка пива can of beer
no g pl
g sg богатыря
g pl ботинок
промежуток времени period of time
Времени нету I’ve got no time
колючая проволока barbed wire
газовая плита gas stove
g pl кнопок
nom pl куры, g pl кур
g pl веточек
i вожусь, возишься
i отвожу, отводишь; p отведу, отведёшь, past отвёл, отвела
g пл головок
g pl граммов or (coll) грамм
nom pl дары
i доверяю, доверяешь
g sg жениха
жилая площадь living space, accommodation
p Она завернула за угол She turned the corner
p заслужу, заслужишь
p затяну, затянешь
g pl звёздочек
nom pl князья
g sg ковша
g sg кота
ликвидирую
g pl недр
g pl нянь
обучение грамоте teaching of literacy
i обхожу, обходишь; p обойду, обойдёшь, past обошёл, обошла
nom pl паспорта
g pl пачек
g pl пашен
g sg пса
Пусть будет по-вашему Have it your own way
i кланяюсь; p поклонюсь, поклонишься
p предусмотрю, предусмотришь
i протестую
i размышляю
pr sg в раю
i расширяю
g sg ручья, g pl ручьёв
i сводится
p скажется
nom pl слесаря
i сменяю; p сменю, сменишь
i Мне снилось, что ... I dreamt that…; p Она мне приснилась I dreamt about her
жить по соседству to live nearby
nom pl сосны, g pl сосен
i стесняюсь; He стесняйся Don’t be shy
p уставлюсь, уставишься
энергетические ресурсы energy resources
i вешу, весишь; Сколько это весит? How much does this weigh?
парадная дверь front door
g pl ребятишек
g sg близнеца
g sg земледельца
g pl бровей
правящая верхушка ruling clique
сойти с рельсов to go off the rails
g sg руля
f бабья, n бабье
ворчу, ворчишь
no pres
p приподниму, приподнимешь, past приподнял, приподняла, приподняло
nom pl старшины
су́ндук; g sg сундука́
g pl осей
g pl валенок
g pl гонок
no pl
первого разряда first class
nom pl вдовы
nom pl пуды
nom pl калиток
(indecl)
g sg воробья, g pl воробьёв
g pl пробок
i производится
космический корабль spaceship
i изготовляю; p изготовлю, изготовишь
g pl сеней
g pl шашек
g pl оболочек
командующий армией commander of the army
водяная мельница watermill
i гружу, грузишь; за-/по- р; p погружу́, погру́зишь
p погружу́, погрузи́шь
i содержусь, содержишься
g pl фуражек
g sg козла
nom pl якоря
g pl саней
должным образом properly
g pl путёвок
g sg выпускника
g pl рубок
g sg паренька
в декрете (coll) on maternity leave
nom pl ядра, g pl ядер
i трачу, тратишь; по-/ис- р
g pl рюмок
снежный покров blanket of snow
g pl лыж
no sg, g pl девчат
i анализирую
аплодирую
боковой карман side pocket
i варю, варишь
i влияю, влияешь
i вожу, водишь
p возвращусь, возвратишься
p выражусь, выразишься
Они на даче They’re at their country cottage
двойной подбородок double chin
g sg добровольца
g pl догадок
no pl
no pl
nom pl купола
g pl лавочек
pr sg в ладу́, nom pl лады́; петь в лад to sing in tune; на свой лад in one’s own way
i лечу, лечишь
Она промокла насквозь She got wet through
нефтяная промышленность oil industry
p обижу, обидишь
i одобряю
p отброшу, отбросишь
f охотничья, n охотничье
g sg палача́
g pl палочек
g pl перегрузок
p past подверг, подвергла
три дня подряд three days running
наилучшие пожелания best wishes
p приближусь. приблизишься
i признаюсь, признаёшься; p признаюсь, признаешься
принципиальный вопрос question of principle
nom pl провода
nom pl прожектора
g sg пузыря
p разорву, разорвёшь, f past разорвала
i распространяю
рем(е)нь; g sg ремня
p сдержу, сдержишь
p сломлю, сломишь
f собачья, n собачье; собачья жизнь a dog’s life
p сокращу, сократишь
на стадионе at/in a stadium
nom pl татары, g pl татар
i употребляю
short forms чужд, чужда, чужды
pr sg на балу́, nom pl балы́
i валюсь, валишься; по-/с- р
nom pl веки, g pl век
g pl вешалок
nom pl во́ры, g pl воро́в
Она вот-вот придёт She’ll be here any moment
Вспоминается ... I remember...
встречный ветер head wind
p выращу, вырастишь
господствую
pr sg в дали
p загорится
p залезу, залезешь, past залез, залезла
i заполняю; заполнять бланк to fill in а form
p извлеку, извлечёшь, извлекут, past извлёк, извлекла
g pl каникул
g pl капелек
g pl корок
p наберу, наберёшь, f past набрала
p накоплю, накопишь
p налечу, налетишь
g pl находок
Ему обидно видеть это It hurts him to see that
i отделяю; p отделю, отделишь
p отопру, отопрёшь, past отпер, отперла, отперло
p ощущу, ощутишь
i пашу, пашешь
g sg пласта́
p порожу, породишь
g pl проверок
p пролечу, пролетишь
i/p рассыпа́ться/рассы́паться; p рассы́плется
i растворяется
p растеряюсь
g pl речек
руководствуюсь
Все в сборе Everyone is here
g pl сводок
g семидесяти
составная часть component part, component
p сошлюсь, сошлёшься
g pl тетрадок
g sg тиража́
p украшу, украсишь
хло́п(о)к
хлоп(о́)к
g sg бремени, no pl
i верчусь, вертишься
Она не виновата It’s not her fault
g pl выдержек
g pl горок
g pl дверец
g, d, inst, pr девяноста
no i
g pl ёлок
i жгу, жжёшь, жгут, past жёг, жгла
p завяжу, завяжешь
p заеду, заедешь
p залью, зальёшь, f past залила
i заношу, заносишь; p занесу, занесёшь, past занёс, занесла
p запрещу, запретишь
g pl иголок
p избавлюсь, избавишься
исследую
nom pl клинья, g pl клиньев
мобилизую
p налажу, наладишь
g pl овощей
i осуществляется
p отстою, отстоишь
p переменю, переменишь
g pl перил
p поврежу, повредишь
p прекратится
i присоединяюсь
i равняюсь
развёртываться i/разворачиваться i
в разрезе +g (coll) in the context of
i разъясняю
p расположусь, расположишься
i расширяется
g pl сделок; заключить сделку to do a deal
i сознаю, сознаёшь
p соскочу, соскочишь
g pl стоек
g pl стрелок
струна́; nom pl стру́ны
i цепляюсь
частота́; nom pl часто́ты
g sg чердака
i швыряю
p: по-/шевельнуть 
кошачья шерсть cat fur
g pl юбок
я́стреб; nom pl ястреба́
былое величие former greatness
i вводится
на взводе drunk; agitated
p вложу, вложишь
p выбегу, выбежишь, выбегут
i гремлю, гремишь
i грею, греешь
p забью, забьёшь; бить i/забивать i
p задену, заденешь
записная книжка notebook
p изобрету, изобретёшь, past изобрёл, изобрела
g sg календаря
g pl карточек
i клянусь, клянёшься, past клялся, клялась
i льётся, past лился, лилась
g pl масок
за-, из- p
g sg мяча́
g pl насмешек
p огляжу, оглядишь
p ознакомлюсь, ознакомишься
p осужу, осудишь
p отобью, отобьёшь
g pl палаток
g pl петель
p поделюсь, поделишься
уйти в подполье to go underground
g pl покупок
g полуночи
i помещусь, поместишься
i порчу, портишь; p испорчу, испортишь
g pl посылок
p представлюсь, представишься
p прерву, прервёшь
p привяжу, привяжешь
p проложу, проложишь
i путешествую
p разгляжу, разглядишь; no i
p разыщу, разыщешь
p рассею, рассеешь
i таю, таешь
i ревную
i рисую; p нарисую
g pl складок
short forms: склонен, склонна, склонны
p слезу, слезешь, past слез, слезла
i стыжусь, стыдишься
g pl сумок
g pl схваток; схватки (muscle) contractions
i темнеет; по-/с- р
g pl тёток
i топлю, топишь; p по-/y-
g pl трубочек
i трясу, трясёшь, past тряс, трясла
i удаляюсь
i уделяю; уделять внимание +d to give/pay attention to sth
(m/f)
g pl уток
на юридическом факультете in the law faculty
i целуются
g pl яблонь
(m)
g sg вреда́
(m pl) g pl выборов
(f)
g pl гимнастёрок
g sg гроша́; без гроша penniless
заветная цель cherished goal; заветная мечта secret dream
p запою, запоёшь
p затрачу, затратишь
g sg знатока́
(f)
конский завод stud farm
i кружусь, кружишься
g pl кучек
g pl ловушек
g sg материка́
(f)
(f)
g pl мышек; под мышкой under one’s arm
p наведу, наведёшь, past навёл, навела; навести порядок to put things in order
(f)
некто Сидоров a certain Mr Sidorov
g pl новинок
p оборвусь, оборвёшься, f past оборвалась
оформление документов completion/registration of documents
p переберу, переберёшь, f past перебрала
(i~p) перереза́ть/перере́зать; перережу, перережешь
(f)
i пляшу, пляшешь
nom pl погреба
g полувека
g pl поправок
Он попросту устал He’s just tired
(f)
p посмеюсь, посмеёшься
or посередине 
i поясняю
(f)
i предъявляю; p предъявлю, предъявишь
p прилечу, прилетишь
f птичья, n птичье
p разгромлю, разгромишь
p раскроюсь, раскроешься
рыбная ловля fishing
p собьюсь, собьёшься
i склоняюсь; p склонюсь, склонишься
no pl
nom pl снохи (of husband’s mother: невестка)
прогноз погоды weather forecast
g pl справок; наводить справки о +pr to make enquiries (about)
спрос на импортные товары demand for imported goods
i трясусь, трясёшься, past трясся, тряслась
g pl уступок
g sg четверга
i чувствуется
i шепчусь, шепчешься
g pl берёзок
pr sg в бору, nom pl боры
g sg борща
g pl бочек
i выявляю; p выявлю, выявишь 
валяйте! (coll) go ahead!
(f)
i вьётся
i влюбляюсь; p влюблюсь, влюбишься
i возглавляю; p возглавлю, возглавишь
i воображу, вообразишь
g pl воронок
p вышлю, вышлешь
(f)
no pl
деви́чий or де́вичий; девичья фамилия maiden name
i делю, делишь
p денусь, денешься
pr sg в жару
nom pl инспектора
n indecl
g pl колоколен
(i)
i молюсь, молишься
(m)
nom pl ноздри, g pl ноздрей
g pl нянек
nom pl очи, g pl очей
g pl открыток
p оторву, оторвёшь, past оторвал, оторвала, оторвало
no pl
i передаётся
g sg петуха
i планирую
подавляющее большинство the great majority
p подбегу, подбежишь, подбегут
p помилую; no i; Господи, помилуй Lord, have mercy
g pl поставок
i тушу, тушишь
i предполагается it is proposed
p предстану, предстанешь; предстать перед судом to appear in court
(f)
p прижмусь, прижмёшься
p приоткрою, приоткроешь
p разложу, разложишь
p разложу, разложишь
i рискую
i скольжу, скользишь
p снабжу, снабдишь
i сочувствую
процентная ставка interest rate
сукин сын son of a bitch
i тычу, тычешь; p ткну, ткнёшь
i треплю, треплешь
g pl тропинок
в упор point-blank; сделать упор на +pr or a to emphasize
i утра́чиваю, утра́чиваешь; p утрачу, утратишь
ха́ос or хао́с
срок хранения sell-by date; камера хранения left luggage office
(also целая) единое целое a single whole; одна целая (и) три десятых one point three (1.3)
g pl цепочек
g pl чернил
i чищу, чистишь
g pl щей
i эксплуатирую
на авось on the off-chance
античный мир the ancient world
g pl брызг
по велению совести according to the dictates of one’s conscience
i гоняю, гоняешь
милостивый государь Dear Sir
i граблю, грабишь
i двигаю or движу, движешь
nom pl дворяне, g pl дворян
p донесу, донесёшь, past донёс, донесла
i жую, жуёшь
i загоняю; p загоню, загонишь, f past загнала
p задушу, задушишь
p зажму, зажмёшь
p закажу, закажешь
p закушу, закусишь
земляной пол earth floor
i знакомлю, знакомишь
поставить кого-нибудь в известность о +pr to notify s.o. about sth
no pl
nom pl колосья, g pl колосьев
g pl командировок; в командировке on a business trip etc.
g sg костыля
i past креп, крепла
g pl кружек
g pl крупинок
i кроется; Причина кроется в ... The cause lies in ...
p навалюсь, навалишься
p накажу, накажешь
p нападу, нападёшь, past напал, напала
p окрашу, окрасишь
f; в окрестностях in the vicinity
g sg пня
p перееду, переедешь
p пересеку, пересечёшь, пересекут; past пересёк, пересекла
i пишется; Как это пишется? How do you spell that?
i плюю, плюёшь
g pl поговорок
i гублю, губишь; p погублю, погубишь
i подношу, подносишь; p поднесу, поднесёшь, past поднёс, поднесла
p подъеду, подъедешь
p помяну, помянешь
i предвижу, предвидишь; no р
взойти на престол to ascend the throne
i пячусь, пятишься
i радует; p обрадую
в разгаре +g at the height of
родственные связи family ties
i рычу, рычишь
вечер самодеятельности amateur concert
найти сбыт to find a market, sell well
p сварю, сваришь
nom pl сёдла, g pl сёдел
p сожму, сожмёшь
Она владеет русским языком в совершенстве She speaks perfect Russian
p созрею, созреешь
i сопротивляюсь
p сорвусь, сорвёшься, f past сорвалась
g pl строчек
p стяну, стянешь
g pl табуреток
nom pl тополя
предложить тост за +а to propose a toast to
i увожу, увозишь; p увезу, увезёшь, past увёз, увезла
i удивляю; p удивлю, удивишь
в установленном порядке in the prescribed manner
p устою, устоишь; no i
g pl хлопот, d pl хлопотам; без хлопот without difficulty
i чиню, чинишь; p починю, починишь; чинить i/починять i
i чую, чуешь
g pl балок
g pl бородок
Бывало, она вставала в шесть утра She would get up at 6 a.m.
p выложу, выложишь
i~p; выреза́ть/вы́резать; p вырежу, вырежешь
i гашу, гасишь
i past гиб, гибла
i грызу, грызёшь, past грыз, грызла
(i/p) демонстрирую
i доводится; p доведётся, довелось; Ей довелось побывать в Париже She had occasion to visit Paris
p доживу, доживёшь
p закреплю, закрепишь
p запущу, запустишь
p застыну, застынешь
p затею, затеешь
p past зarax, затихла
nom pl иглы
почётный караул guard of honour
g pl касок
g pl кистей
g кое-кого
 pl корточки; сидеть на корточках to squat
i критикую
i кручусь, крутишься
i крою, кроешь
nom pl лапти, g pl лаптей
g pl ласк caress; g pl ласок weasel
g sg льва
i лью, льёшь
no pl
nom pl местечки, g pl местечек
i мечусь, мечешься
g sg монтажа
p набью, набьёшь
p наговорить глупостей to talk a lot of nonsense
p нажму, нажмёшь
f намерена
g pl ниточек
p обрету, обретёшь, past обрёл, обрела
p отыщу, отыщешь
p переглянусь, переглянешься
g sg пирога
i подаюсь, подаёшься; p подамся, подашься, подастся, подадимся, подадитесь, подадутся; подаваться
p позабуду, позабудешь
p покошусь, покосишься
p предпочту, предпочтёшь, past предпочёл, предпочла
p присмотрюсь, присмотришься
p приспособлю, приспособишь; приспосабливать i or приспособлять i
p пробегу, пробежишь, пробегут
i продаюсь, продаёшься
p развяжу, развяжешь
p раздавлю, раздавишь
p распущу, распустишь
i расставляю; p расставлю, расставишь
nom pl рога
g pl рыбок
g pl салфеток
p сбегу, сбежишь, сбегут
i скачу, скачешь
i скрипит; про- р/скрипнуть р
в общей сложности all in all
p снижу, снизишь
i совершенствую
i стону, стонешь
i томлюсь, томишься
i тоскую
i точу, точишь
g pl троек
g pl туфель
p угощу, угостишь
i роняю, роняешь; p уроню, уронишь
g pl ущелий
i хороню, хоронишь
i шью, шьёшь; p сошью, сошьёшь
f эка, п экое
(i/p) атакую
g pl басен
g pl бомбардировок
i бреюсь, бреешься
вереница автомобилей a line of cars
nom pl вёсла, g pl вёсел
p выбью, выбьешь
g pl голубей
g pl горстей
i диктую
жилищные условия housing conditions
i жру, жрёшь, f past жрала
i забега́ть вперёд to run ahead; p забегу, забежишь, забегут; забежать вперёд to run ahead
р забе́гать
p зарастёт, past зарос, заросла
p затянусь, затянешься
g pl заявок
g sg земляка
i каплю, каплешь
g pl кепок
g sg конька
i контролирую
indecl
g sg кошелька
с- р; по- р
f
g sg малыша
g pl миль
i мучиться or мучаться; p за- or из-
i надлежит; past надлежало
p наложу, наложишь
p наткнусь, наткнёшься
nom pl низы
i ношусь, носишься
m/f; g pl одиночек; мать-одиночка unmarried mother; в одиночку single-handed
p оживу, оживёшь, past окреп, окрепла
g sg осла
p осмотрюсь, осмотришься
g pl остриёв
nom pl паруса
i перечисляю
p повышусь, повысишься
p подавлю, подавишь
i подчиняюсь
p поженимся
g sg поставщика
Похоже на то, что ... It looks as if…
p предотвращу, предотвратишь
i
p просижу, просидишь
p прослежу, проследишь
p прощусь, простишься
p пущусь, пустишься
p разденусь, разденешься
p размещу, разместишь
g sg рычага
p сгорю, сгоришь
g pl скрипок
g sg словаря
служебное время office hours
p согласую, согласуешь
g pl соседок
p С ней не соскучишься You won’t get bored with her; Она соскучилась по мужу She misses her husband
p спохвачусь, спохватишься
спрашивается the question is
p стисну, стиснешь
p схвачусь, схватишься; схватываться/хвататься i
i Что здесь творится? What’s going on here?
i толкую, толкуешь
i трепещу, трепещешь
nom pl тропы
p украду, украдёшь, past украл, украла
p укроюсь, укроешься
i умоляю
p установится
i устремляюсь; p устремлюсь, устремишься
i хвалю, хвалишь
g sg хомута; надеть себе хомут на шею to impose a burden on os
g sg чайка, partitive g чайку; Вы не хотите чайку? Would you like some tea?
g pl шаек
i белеет
i бреду, бредёшь, past брёл, брела
g pl будней
i
i веет
p взвешу, вывешишь; вешать i/взвешивать i
p возложу, возложишь
восходящая звезда rising star
Цены повысились втрое Prices have risen threefold
g pl вывесок
i вывожу, вывозишь; p вывезу, вывезешь, past вывез, вывезла
p вышибу, вышибешь, past вышиб, вышибла
g pl двоек
g pl детишек
i довольствуюсь
достигнуться p/достичься p
p замру, замрёшь, замер, замерла
i заору, заорёшь
p зашумлю, зашумишь
разо- p/обо- р
no pl
nom pl колья, g pl кольев
i колю, колешь; раз- р; за- р
g pl коробочек
i лаю, лаешь
m
f Ему лень идти He can’t be bothered to go
i маню, манишь
p наживу, наживёшь, past нажила
намного лучше much better
p наплюю, наплюёшь; Ей наплевать She couldn’t care less
i недостаёт
f
g pl обеден
p обнажу, обнажишь
no i
отпечатки пальцев fingerprints
i охочусь, охотишься
за пазухой in one’s bosom
g pl перегородок
p перекрещусь, перекрестишься
p перекрещусь, перекрестишься
p переменюсь, переменишься
nom pl пилы
nom pl плиты
p подведу, подведёшь, past подвёл, подвела; подвести итоги to sum up
g pl подружек
g pl постановок
p постарею, постареешь
i превосхожу, превосходишь; p превзойду, превзойдёшь, past превзошёл, превзошла
g sg премьер-министра
p преобразую
p прибью, прибьёшь
p прислонюсь, прислонишься
g pl прогулок
публичный дом brothel
p разобьётся
nom pl рёбра, g pl рёбер
nom pl русла, g pl русл
g pl мышц
p сольюсь, сольёшься, past слился, слилась
p снижусь, снизишься
p созову, созовёшь, f past созвала
вы- p; стереть p
g sg сука, pr sg на суку, nom pl суки, g pl суков or сучья, сучьев
i сыплется, сыплются
i таюсь, таишься
n indecl
i
p угожу, угодишь
p упомяну, упомянешь
p усядусь, усядешься, past уселся, уселась
p ухвачусь, ухватишься
p уцелею, уцелеешь
i хлещу, хлещешь
во хмелю tipsy
g sg чугуна
i шиплю, шипишь
nom pl яблочки, g pl яблочек
g pl яслей
безымянный палец ring-finger
g sg бича
благие намерения good intentions
pr sg в бреду
i брею, бреешь
i бушую, бушуешь
верховая езда horse-riding
m
(m) g pl весов
g pl вечеринок
p влезу, влезешь, past влез, влезла
i внедряю
p вцеплюсь, вцепишься
p вымою, вымоешь; мыть i, вымывать i
g pl выходок
g sg гаража
i Документ гласит ... The document states ...
g sg глуши
p доеду, доедешь
i дразню, дразнишь
i дремлю, дремлешь
nom pl дыры
p заблужусь, заблудишься
p завалю, завалишь
p заинтересуюсь
p затоплю, затопишь; затапливать i; затоплять i
защитные очки goggles
i Она в списке не значится She’s not listed
p избавлю, избавишь
i измеряю
i исполняется
g sg клопа
g sg кнута
i колышется
командные высоты the commanding heights
g sg кузнеца
g pl кукушек
p наберусь, наберёшься, f past набралась
p нагоню, нагонишь, f past нагнала
накануне Нового года on New Year’s Eve
(i/p) оборудую
i овладеть
p оживлюсь, оживишься
g sg особняка
nom pl остроты
p отвезу, отвезёшь, past отвёз, отвезла
работать с полной отдачей to be a dedicated worker
каждый в отдельности each separately; в отдельности taken separately
p отменю, отменишь
i отсутствую
p очищу, очистишь
g sg плаща
i плету, плетёшь, past плёл, плела
как положено as is the done thing
p погружусь, погрузишься
g pl покрышек
p предам, предашь, предаст, предадим, предадите, предадут, f past предала
p приготовлюсь, приготовишься; приготавливаться i/ приготовляться i
p приспособлюсь, приспособишься
i притворяюсь
p притихну, притихнешь, past притих, притихла
p пробьюсь, пробьёшься
g sg проводника
i проношусь, проносишься; p пронесусь, пронесёшься, пронёсся, пронеслась
p прошепчу, прошепчешь
f
политика кнута и пряника carrot and stick policy
i раздаю, раздаёшь; p раздам, раздашь, раздаст, раздадим, раздадите, раздадут, f past раздала
nom pl ремёсла, g pl ремёсел
(f) g sg ржи, inst sg рожью, pr sg во ржи
f
p свалю, свалишь; валить/сваливать i
i сетую, сетуешь
g sg слона
p смущу, смутишь
g pl снежинок
p согрею, согреешь
g pl сопок
в сопровождении +g accompanied by
p стащу, стащишь
g pl стоянок; стоянка такси taxi rank
p струшу, струсишь
p съезжу, съездишь
g pl таблеток
i твержу, твердишь
i травлю, травишь
p умоюсь, умоешься
f
g pl шапочек
g sg шута
pr sg в аэропорту
i coll баловатьбалую
g pl бутылочек
валуна
g pl варежек
i ворую
p впаду, впадёшь, past впал, впала
i вставляю; p вставлю, вставишь
p высажусь, высадишься
p выскажусь, выскажешься
g pl добавок
p докачусь, докатишься
(m) nom pl домишки, g pl домишек
i дымлю, дымишь
i жажду, жаждешь
p закроюсь, закроешься
p застряну, застрянешь
nom pl змеи, g pl змей, d pl змеям
g sg каблука
g sg клока, nom pl клочья, g pl клочьев or клоки, клоков
g pl косынок
f
куриная память memory like a sieve
i лажу, лазишь
g pl ленточек
nom pl мётлы, g pl мётел
no pl
g sg монастыря
Ему неохота He doesn’t feel like it
g pl нехваток
f pl; g pl носилок
p обгоню, обгонишь, f past обогнала
+g в обрез none to spare; Времени в обрез Time is very short
p обхвачу, -атишь
f
p одолею, одолеешь
g pl ожерелий
nom pl округа
p опустеет
g sg орла
g pl отметок
g pl парнишек
p пересмотрю, пересмотришь
i
повестка дня agenda
g pl повязок
p подожгу, подожжёшь, подожгут, past поджог, подожгла
p подорву, подорвёшь, f past подорвала
p подтяну, подтянешь
nom pl полы
nom pl поленья, g pl поленьев
nom pl полотна, g pl полотен, d pl полотнам
nom pl полуострова
пособие по безработице unemployment benefit
i правлю, правишь
i праздную
p прибегу, прибежишь, прибегут
p приберу, приберёшь, f past прибрала
p привяжусь, привяжешься
p приставлю, приставишь
i пристаю, пристаёшь; p пристану, пристанешь
p провозглашу, провозгласишь
p проглочу, проглотишь
g sg продавца
p
p пролью, прольёшь, f past пролила
p промолчу, промолчишь
p проскочу, проскочишь
p прославлюсь, прославишься
p просмотрю, просмотришь
i противостою, противостоишь
p развалится
g pl расписок
i распределяется
i ращу, растишь
p рванусь, рванёшься
= родной
i рою, роешь
g pl сестрёнок
f
g pl словечек
i сосу, сосёшь
g pl спален
p спасусь, спасёшься, past спасся, спаслась
p спишу, спишешь
спичечная коробка matchbox
p станется
p past стих, стихла
p сформулирую; формулировать (i/p)
g pl съёмок
p съеду, съедешь
в такт музыке in time to the music; отсутствие такта tactlessness
i торможу, тормозишь
i углубляюсь
p улечу, улетишь
g pl уст, d pl устам; из уст в уста by word of mouth
f
g pl фигурок
g pl форточек
i цвету, цветёшь, past цвёл, цвела
nom pl цыплята, g pl цыплят
на цыпочках on tiptoe
nom pl черепа
i чудится; по- p/при- р; p Мне почудилось, что я слышу шаги I thought I heard footsteps
g pl чулок
g pl штучек
(i/p) адресую
g pl арок
m
g pl белок
g sg блина
i благословляю; p благословлю, благословишь
g pl булок
nom pl веера
g pl верховьев
p взлечу, взлетишь
i визжу, визжишь
i возвожу, возводишь
p возвращу, возвратишь
